title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
"Great product, and support team at Vendini",Jack S.,Managing Director,,Used the software for: 2+ years,NO,Source: Capterra,"Mar 23, 2018",5,5,5,5,5,9.0,,"Pros: Vendini ticket agent software is very user-friendly for selling tickets/donations/memberships/ etc. With the part-time box office staff typical turnover, it is great to be able to get staff up selling tickets. I can train new staff to do a sale, exchange, and refund within an hour. We have over 75,000 patrons per year, over 1000 performances and hundreds of different producers. We also produce our own festivals and programming and most other festivals in our 4 theatre complex. With this variety, we need a system that was flexible and works well with our eyes and.. attitude toward requests from our tenants. Vendini is approachable and focused on making the product work for us. They create a very personal connection to their customers and their support. I can be in touch several times a month trying to accommodate a request from one of our tenants, be it a certain type of reporting, or a membership/package they want to offer. I take these to my rep who works with the appropriate team to accommodate our needs. They have helped me create several specialized reports that give specific producers exactly what they want. They have helped me create seating venues that accommodate special pricing, sections, levels etc. . They have shown me useful ways to use memberships and fees. There have been many upgrades the past couple years, Email Marketing, reporting, ticket agent and patron manager. It's great to work with a company that listens to customers. Great possibilities!","Cons: The software is great, but of course not perfect. It can take time and some trial and error to get reports created how you want them. I feel there could still be work to do in this area. Support area is terrific and helpful, especially with urgent/time sensitive requests, but can take a bit longer when it is not priority. I think this is because they take time to find the right team, to give the best answer to solve the issue.",,
Vendini came on to our radar at exactly the right time with the right features to get the job done.,Charles J.,Producing Artistic Director,"Performing Arts, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 13, 2018",5,4,4,5,5,10.0,,"Pros: Vendini, on top of being a box office system, is a complete marketing solution. It offers you the ability to combine your patron databases into one centralized location and then build the database automatically as your attendance increases. You can then use this information for email marketing (a similar system and set up to Constant Contact but I think more intuitive), direct mailings and patron management (such as the scheduling of development activities). The ability to review patron history is invaluable. And you can customize the tagging and grouping of patrons to suit your needs. Additionally, the software provided a website solution for us.",,"Overall: It has changed the way we do business. I can directly attribute our success in the recent years to our implementation of this program. It decreased workload, increased quality of output and made our patrons stand-up and take notice. Vendini continues to make upgrades to areas of the system. They recently added a patron database management section with basic development tools like the ability to schedule calls or tasks. And their email marketing recently got a facelift. So some of my biggest concerns are being addressed.",
Easy event set up with the ability to sell tickets without worry and to work on other projects.,Andrew M.,Associate Music Director,,Used the software for: 2+ years,NO,Source: Capterra,"Jan 11, 2018",5,5,5,5,5,10.0,,"Pros: The best part of this software is that it is cloud-based, easy to navigate and setup, they give you template/dimensions for graphics, and the sales interface is easy for anyone in the office to grasp. By the time someone has typed a donation letter, I've already processed payment and printed the tickets. It is, hands down, the best ticket system for managing not only the ticket sales, but the relationship with the customer. Yeah, I could do a one-time ticket sale with EventBrite or BrownPaper Tickets (whatever they're called), but I don't have a long running capture of deep customer spending and attendance history.","Cons: The only thing that we ran up against was that pew style seating is hard to section off in the software and, inevitably, it was easier to create general ""rooms"" for reserved sections rather than using the seating chart for a church sanctuary. It's wonderful for theater seating!",,
I have used Vendini for two years as an online ticketing system for events.,Verified Reviewer,Associate Music Director,"Higher Education, 201-500 employees",Source: Capterra,NGC,Source: Capterra,"Apr 03, 2018",5,5,5,5,5,10.0,,"Pros: Vendini offers several options to enhance your experience when selling tickets for an event or show. You are able to use your website and logo as well as the logo of the band or event you are selling tickets for. My favorite option is the ability to add a donation to individual's purchases. I worked with a Foundation that was raising funds for scholarships. Being able to add an additional donation button gave me the opportunity to earn additional funds for my Foundation. In addition, I loved the marketing portion. To be able to send an email to patrons through vendini instead of constant contact was super easy.",Cons: The function that I liked the least was that you are limited to character usage and design when it comes to marketing your events. Sometimes the buttons are difficult to use and change when trying to make the email blasts more appealing.,,
Vendini is the ideal box office and integrated website solution for our organization.,Jeremy A.,Senior Subcontract Specialist,Defense & Space,Used the software for: 1-2 years,NO,Source: Capterra,"Mar 01, 2018",5,5,4,5,5,10.0,,"Pros: The integration with the website and online box office is one of the best features of Vendini. The box office software and apps are extremely easy to use have worked flawlessly with not lag or interruption. Our ticket sales have increased significantly since using Vendini, and season ticket subscribers increased from 10 to 45 in one year. Our fundraising has increased too as patrons easily add tip jar donations to each ticket purchase. Vendini customer service is outstanding - every person I have ever spoken with, email, or chatted with is polite, responsive, and knowledgeable. The additional features of credit card processing, equipment rental, patron database, email marketing, and more, Vendini is truly and all-in-one solution that we highly recommend.","Cons: Apps are not compatible with Android devices; and inability to sell gift cards while using Vendini credit card processing. But honestly, there isn't much NOT to like.",,
Outstanding Ticketing and Marketing Software,Daniel K.,Performing Arts Department Chair,"Performing Arts, 11-50 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 16, 2017",5,5,5,5,5,10.0,,"Pros: Ease of use

Patron building

Marketing

Professional appearance",Cons: Wish I had more hours in the day to utilize all the features of the program.,"Overall: I have been using Vendini now for over 7 years. The system is used across our Performing Arts Department at a large urban high school. I do not have a staff other than the students in the class. This is what is so wonderful about Vendini, it can do a little or it can do a lot. The students who are trained on the program are learning industry standard Arts Management skills. It goes well beyond just ticketing but also incorporates easily social media such as email and Facebook. Since using the program our shows sell out, revenue is way up, and we are able to have an impressive professional face. I cannot say enough good things about the services the program offers. In fact, it has been so successful that our district, the second largest in California, is taking it district wide based on the success and recommendations from my site.",Recommendations to other buyers: It will change how you market your shows! It will make ticket sales exciting for you and your staff. The reports features and ability to use the program on tablets and phones will have you checking sales in the middle of the night just for fun :-)
"A very complete solution that has helped us with ticketing, marketing and patron management.",Carl G.,Concert Manager,"Music, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Oct 03, 2017",4,4,4,5,5,9.0,,"Pros: All the major functions are completely integrated: ticket sales, online sales, marketing, patron management and reporting. Setup of new events is a snap.","Cons: The reporting features seem to do what we want but it can be difficult to figure out what you need to do to get the report you want. On the other hand, the customer support is always there to help and explain things as needed. The email functionality needs to be updated as well--not terribly modern looking emails, and the functionality is a bit buggy.","Overall: Helped us sell more tickets by giving us online ticket sales, email marketing, reporting and patron management all in one package.",
Excellent product with even better customer service!,Verified Reviewer,Concert Manager,,Source: Capterra,NO,Source: Capterra,"Apr 26, 2018",5,5,5,5,5,10.0,,"Pros: -Ease of use (very intuitive)

-Great customer service: Vendini has an incredible response time to any support request.

-Constantly improving: When we asked for a new feature they added us to a list of people that requested the same feature and not long after we were in the beta testing group.

-Donor information and tracking is robust for small to midsize organizations: We have a small team and we have barely scratched the surface of the donor and patron information",Cons: -Mobile version of the seating chart can be cumbersome and could scale better (I would add that we haven't received any complaints but that is our offices' opinion).,,
"An extremely robust, full-service program for the money. Best we have used.",Kathleen S.,Artistic Director,"Performing Arts, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Jul 18, 2018",4,4,4,5,4,9.0,,Pros: Ease of use. Navigating the Vendini app is relatively simple. There are a variety of ways to find your information. Keeping various patron bases is extremely helpful Being able to look at sales based on single ticket sales or subscriptions is very important. Being able to send marketing emails is a terrific asset.,"Cons: I am not thrilled with the relatively new (appx one year) layout of the events page for a particular event. Have to open multiple windows to get all of the information, such as total sales. In the past, that was all on one screen. The email marketing has improved but would love for it to be even more like a ""constant contact"" program where you could easily import photos and drag and drop various elements. It is challenging to find the right patron lists to include in an eblast.",Overall: Primary benefit is having almost all of our ticket sales/patron base information in one place.,
"Easy install, outstanding customer support, very receptive to suggestion about improvements.",Hans H G.,Managing Director,,Used the software for: 2+ years,NO,Source: Capterra,"Jun 27, 2018",5,5,4,5,4,9.0,,"Pros: Very easy to train new box office personnel on the ticketing part, which is essential for a non-profit that relies on part time employees. Backoffice set up, with reporting capabilities and e-mail marketing, gives us all necessary tools to take full advantage of the information collected during hte ticketing process.",Cons: Some aspects of ticketing beyond single ticket sales could be more user friendly. Packages and especially memberships could use some upgrades to improve ease of handling.,,
