title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
"Outstanding software, support, development and value",Jamie C.,,"Entertainment, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 28, 2017",5,5,5,5,5,10.0,Comments: Three to four years ago while searching online for ticketing solutions the options that were available were very limited. Choosing a solution for an entire season of concerts is a big step. osConcert was affordable but more importantly provides so much flexibility. I had very specific needs. Integration with Stripe and/or Square was necessary and it was implemented. Integration with Infusionsoft was crucial and it was implemented. The way I needed osConcert to present and deliver information as it related to infusionsoft was unique and it was implemented. osConcert and its developers are smart and understand what you want. The turnaround time is amazing and the development costs are incredibly affordable.,,,,
"Excellent platform, and great support by developers",Robert C.,Director of Communications,"Education Management, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"Nov 29, 2016",5,5,5,5,5,10.0,,"Pros: Seat selection tools for customers, wide selection of payment options, responsive support.",,"Overall: We have been using osConcert for five years, and have had no reason to switch. The system works well in browsers on all devices, and there are regular feature improvements. Our patrons love the ability to select their own seats, pick appropriate discounts, and pay in their preferred method. There is a cost for some of the upgrades over the years, but it is minimal. The upgrade and support costs are well worth the ability to control your own box office site without paying a per-ticket fee.","Recommendations to other buyers: We did a lot of research, and we check again almost annually, but this system is the best on the market if you need reserved seat selection and don't want to pay a commission per ticket."
Great inexpensive ticketing platform,Verified Reviewer,Director of Communications,"Performing Arts, 501-1000 employees",Source: Capterra,NGC,Source: Capterra,"Sep 12, 2018",4,2,2,4,5,7.0,,"Pros: Inexpensive

php and sql

installs as separate folder on your server

The author, is pretty helpful for support.","Cons: Customers seem to have some difficulty with it. Its restricted in its interface with who and how you can connect and handshake with your processor. Works well with PayPal, problems with authorize.net, unable to connect to other processors.","Overall: It is not very user friendly and required a fair amount of IT time to get it started and then to maintain it. The learning curve is pretty large. If you are proficient in PhP, then you'll do fine. The sql relationship chart is unavailable and the number of tables in astounding, so sql solutions are a pain.",
OS Concert - Event Booking Software - Easy and user friendly for both client and management,Macmillan R.,Charity Event Organiser,"Entertainment, Self-employed",Used the software for: 1-2 years,NGC,Source: Capterra,"Nov 23, 2016",5,5,4,5,5,10.0,,Pros: Simple and easy to use for both management and clients. Incredibly good value and great customer support.,Cons: There are a few limitations as to the way that you can extract data for management purposes.,"Overall: Most importantly our clients have found this an easy platform to book their tickets via, as the booking process is kept as simple of possible with clear instructions. Map of seating is clear and well designed. As an end user once you are familiar with the package it is straight forward to use. It does have some limitations to the way data can be extracted and managed. Fantastic and quick customer support with regards to any issues or questions that we have had. The service is incredibly good value for money which was important for us as we are running a charity event and has enabled us to be in control of our own bookings without using a third party agency and additional expenditure. Highly recommended.",
Makes a box office affordable,Matthew Q.,Director,"Music, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 24, 2016",4,5,4,5,5,10.0,,"Pros: Low cost, adaptable as os",Cons: Some quirks (it's a converted shopping cart at base) but nothing grave,"Overall: We've used osconcert for a number of years now so we can sell individual seats for our festival concerts on our own website. Most of our sales are now online via the system and we also use it to generate tickets for our telephone sales. It has its foibles, like all systems, but it has proved dependable and the free support and inexpensive upgrades from Gordon have been great.",Recommendations to other buyers: Need some basic knowledge/confidence to install but help available via email and online guides
"Full featured, cheap to buy and run, good support but some compatibility problems",Phil M.,Webmaster,"Information Technology and Services, Self-employed",Used the software for: 2+ years,NO,Source: Capterra,"Dec 24, 2017",3,3,3,4,4,6.0,,"Pros: Attractive customised seat plans, no commission on sales (apart from PayPal), cheap and well supported. When we started using it a few years ago, it was pretty much the only show in town if you wanted to offer allocated seating from a self-hosted solution to keep everything in-house and avoid booking fees on every sale (hundreds of pounds a year for us).","Cons: Problems with OS compatibility (Ubuntu 16.04), occasional failed transactions and lack of CMS integration caused a lot of administrator work.","Overall: Customers can choose, pay for and print their own tickets whenever they like, providing convenience for them and reducing administration for us. Attractive customised seat plan, self-hosted software with no booking fees.",
Excellent Value in Reserved Seat Ticketing,Dan D.,Director of Systems,"Education Management, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"Nov 29, 2016",5,4,4,4,5,8.0,,Pros: Configurability,"Cons: The system is obviously repurposed from an earlier system. The back-end usability is a bit complex, and requires a reasonable level of technical expertise that is typically not found in a school like ours. It is definitely not for everyone.",Overall: We are a K-12 private school in Texas with about 700 students. This will be our 5th year using osConcert to sell reserved seating at our school theater productions.,
Great product and great support!,RIch B.,CFO,"Entertainment, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 03, 2017",5,5,5,5,5,10.0,,Pros: Does everything you'd expect from an advance professional ticketing system.,"Cons: Would love it if it could ticket using a Boca Printer. I haven't check the latest update, this may already be and option.",Overall: Always fast and reliable support. Hands down the best best ticketing system for anyone who wants to retain total control of all aspects of online and offline ticket sales. I highly recommend this product to anyone serious about selling event tickets.,
osConcert upgraded our user experience by 1000%,Douglas S.,CTO & Founder,,Used the software for: 1-2 years,NO,Source: Capterra,"May 03, 2018",5,4,5,5,5,10.0,,"Pros: Ease of use of the product is what makes the product so great. Customers get a tailored experience and expectation of exactly where they are going to sit during the performance. Admin is fairly easy to use once you get used to how it is organized. This is a full solution from sales, coupons, notification and integrations with our payment gateway.

Gordon has been very responsive and helped us with the layout and even integrating the payement gateway that we used. Each event has gone smoother than it has in the past with other solutions that we have used.

osConcert has removed a big headache that we had and I am very glad that we went with this ticketing solution",Cons: The only cons that I have are associated with the admin. some options are buried and sometimes a little difficult to find. But the developer has been very responsive and helping out with advice where needed.,,
Solid Ticketing Workhorse for our Theater,David R.,Webmaster,Entertainment,Used the software for: 2+ years,NO,Source: Capterra,"Nov 23, 2016",4,3,4,5,5,8.0,,Pros: Great seating charts and easy navigation for customers,"Cons: Backend is complex and can be time consuming to find the area you need to adjust, but regularly used features are very straight forward and it has a decent searchable manual.","Overall: The software takes a little bit to get setup, but once all is in place you have a great ticketing site that is very visual for the customer and makes even the smallest venue look professional. Setup costs are very low and we have only had minimal upgrade charges when our seating charts changed or big enhancements to the product. No service fees so we save thousands each year over other services and the customer service has always been spot on and eager to help us.",Recommendations to other buyers: Make sure you fill in your DATE IDS for all shows and events/products since this is the field used to fun reports and such. Makes it much easier to get useful information back on attendance.
