title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Entreflow Consulting Group's use of Eventbrite,Aislinn K.,Marketing Assistant,"Management Consulting, 11-50 employees",Used the software for: 1-2 years,NO,Source: Capterra,"Apr 17, 2019",5,5,4,5,5,9.0,,"Pros: The top feature for Eventbrite is that it's really easy to track events and the attendees that are coming to your events. You can create an event very easily, share it across multiple platforms, there's a direct link to your Facebook business events page from Eventbrite. Making it super easy to get the word out.","Cons: So, some of the requested features; we would like to see more customization in the actual Eventbrite page itself and as well the emails that are sent out to your invitees. So at the moment, I think there's only two templates and you can't really do much to change the look and feel, or the text within it, so it would be great to be able to customize those features a little bit.","Overall: It's good for anybody that's organizing an event obviously, the nice thing about Eventbrite is that it's free to use long as you're not charging for the event. There is a fee if you are charging for the event so the fees are 2.5% plus 99 cents transaction fee. So that's a service fee to Eventbrite for using their platform. Again, this is only if you're charging for the ticket, and then if there's a credit card use, then the credit card fee is 3.5% which is quite high, but when you factor in the time to chase attendees for invoice payments it's kind of a no brainer",
State of the Art Event management,Janosch F.,Human Resources Consultant,"Internet, 51-200 employees",Used the software for: 6-12 months,NGC,Source: Capterra,"Nov 24, 2018",5,4,4,5,5,8.0,,"Pros: I used Eventbrite a couple of times when booking events for myself or colleagues. It was simple, easy, had the information I was looking for where I expected it to be and all (comprehensive) steps that led me through researching the event (MTP Hamburg) to choosing what I specifically wanted to finalizing booking completely without any hassle. A while later I had to organize an Event myself and remembered my positive experience as a user, which I wanted to provide to attendees of my event as well. It was then, that I realized how much this has to do with the way you setup an event from inside Eventbrite. There is a verry good guide for setting up events and a step by step tour for beginners. There also are recommendations about what to do when and what information might be expected by potential attendees. I liked the basic support which was included as a beginner. Also, there are areas where Eventbrite clearly draws a line regarding its functionalities and forwards you to connected third party services (as for example if you want super fancy badges or have more esoteric data mining procedures in mind regarding your attendees data). As a newbie to event management AND Eventbrite in particular I was also happy about the broad spectrum of FAQ and help videos. I was very happy to be supplied with a solution that provided me with high quality, easy to use features and was free to use for my non-profit event on top of it.",Cons: Speaking of FAQ and learning how to use Eventbrite it is true that there is a lot of material available online. Sadly there is also light and shadow to this. Some of the explanations I found online were clearly dated and others did either not cover the specifics of the topic I needed (recommendation / invitation based multi stepp application requests) or referred to things which had been changed in the past. Also the Options for the design and look of the Event Homepage were limited. These aren't necessarily bad things only. BEing forced to stay with a simple (but still beautiful) Layout as well as required to go with a simpler application process then I imagined in the end turned out to be good as it simplified things and allowed me to concentrate on matters more central to the event I was planning. It just needed some letting go first and willingness to do it differently than I first had imagined.,"Overall: The event I attended which was managed via Eventbrite hat serval hundred attendees. From a visitors perspective anything worked flawlessly and smooth. The event I set up was a lot smaller but also worked out great from an organizers point of view. I am confident Eventbrite played a central role to this as it streamlined the organisation and the preparation as well as positively supported the execution of the events. Eventbrite is a modern, fast and anticipating web application that is easy to use and works for teams colaborating in organizing small and obviously medium to large sized events. It also funnels some of your more exotic ideas about how your event should work down a reasonable lane, which is healthy, es pecially for newcomers and the less experienced. I simply can recommend Eventbrite and will use it again for our followup event(s) in 2019.",
Solid Event Hosting Option With a Few Quirks,Marc H.,Director of Marketing,"Marketing and Advertising, 11-50 employees",Used the software for: 6-12 months,NGC,Source: GetApp,"Jan 26, 2016",4,4,4,4,5,8.0,"Comments: With a large number of ""event applications"" out there, Eventbrite has found its way to the top of that list thanks mostly to their easy to use interface and well thought out back-end that not only covers all of an event host's bases but also integrates with other areas of their marketing. Free to anyone who isn't requiring payment for tickets, Eventbrite makes it easy to quickly put together a good looking registration page fast, without the hassle of payment or subscriptions. The paid feature for anyone requiring ticket fees is a little more rigid in how the user can collect it's money which can make it a little tougher to work with depending on how badly you need the revenue from your ticket sales. The payment processing fees are still reasonable, though.","Pros: -Powerful system that provides a large number of great features (creating, promoting, tracking, checking-in, analyzing) for free -Event page creation is quick and easy. If you want something simple, you can be done in minutes. If you want to customize different areas of the design and registration process, you have that ability as well. -Integrations with outside marketing platforms like HubSpot and MailChimp allow the user to connect their other marketing platforms together to create the most powerful event marketing toolset you could ask for. -Relatively good analytics and reporting sections gives you solid insight into how successful your event was and where you can improve moving forward. -The mobile application (Neon) for event hosts makes checking in attendants a breeze by either scanning the printed tickets Eventbrite provides or just finding their name and swiping your finger across it! -Customer support is relatively attentive (I've averaged around 3-5 minutes on hold before speaking to a representative via phone) and the knowledge base they've set up on their website it pretty helpful when it comes to answering some of your intermediate-level questions around customization and platform functionality.","Cons: -The paid feature is a little rigid when it comes to payout structure compared to other options. You normally can't receive payout for your ticket revenue until your event ends, making it a tough option for those looking to promote an event months in advance who need the revenue now. Definitely something to consider. They provide early payout, but depending on how much revenue you're expecting to generate, that may not even be a viable option. -Customizing your registration page with your brand's colors, logos and images can be difficult and require some coding skills. You also won't be able to get rid of the Eventbrite branding so anyone looking for total design control may not like this option.",,
A solid simple event registration platform,Verified Reviewer,Director of Marketing,"Non-Profit Organization Management, 11-50 employees",Source: Capterra,NGC,Source: GetApp,"Sep 11, 2018",4,3,4,3,3,9.0,,"Pros: Eventbrite is fairly simple to use and has most the features you would want laid out so you can build an event registration form in steps. Once you set up your account(s) if you are accepting payments, it is straightforward to duplicate events to make new ones as long as they require similar details. There are custom fields you can create with logic behind them so different users may have different options depending on the access you choose for them. There are also ways to create discount codes or hidden fields with different levels of access. This is very useful when you have tired pricing at events and variable discounts to various groups.","Cons: A lot of the settings are in places that don't make much sense and you have to go to completely different sections of the admin section to find settings that you would think are closely related to each other. Some of the features are on by default and you might never notice them until after your event registration has launched. Even though most the settings are easy to change, you basically have to go over every tab, page and setting to be sure they are all correct before you launch your campaign. When you use the custom data fields and discount features, it isn't immediately clear how it all works and again, you need to go to a couple different pages to get them set up properly so it takes some trial and error.","Overall: This is a great solution for simple, straightforward events without too many options. Once you get a lot of different sessions or tracks and registration types, it either can't accommodate or becomes very complicated to manage. Like other tools of this nature, there is a bit of a generic feel to it but that is the compromise for a widely accepted overall, plug and play software. It is effective but there are other solutions that are similar or easier to use and offer more customization options. It is highly likely that we will replace this software with something else in the near future.",
"Great functionality, amazing when listing free events, fees are a bit expensive for paid events",Verified Reviewer,Director of Marketing,"Professional Training & Coaching, 1-10 employees",Source: Capterra,NGC,Source: GetApp,"Oct 29, 2018",5,5,5,1,3,8.0,,"Pros: Eventbrite has lots of functionality that you will need when organising and managing an event. It is very easy to use, plus it can integrate with other apps such as Mailchimp which comes in handy when broadcasting an event and Surveymonkey which comes in handy to send out feedback forms post an event. The back office functionality is great too -- you can email invitations directly without using Mailchimp if you wanted to. For users, it's easy and simple to register, plus Eventbrite offers a secure online payment option which is hassle free for both organiser and attendee.","Cons: 2 things that I like the least about Eventbrite are: 1) Non-existent customer service. One of the reasons why I used Picatic (which they have now bought!) was due to their great customer service. You can chat with a real person who can help you with some of the questions which are not answered in their FAQs. 2) They're great if you have a free event, but if you have a paid event, their transaction fees are one of the highest in the market.","Overall: I organise a lot of professional networking events, some are free and some are paid for. Eventbrite offers me all the functionality I need to organise my event. I used Picatic until Eventbrite recently acquired Picatic. However, customer support from Eventbrite is very difficult, if not existent. So if you have a question not answered by the standard FAQ, such as, ""Since Eventbrite acquired Picatic, how I can access my previous/ currently live events""?, the only way I could find customer support was by tweeting Eventbrite. So, Eventbrite is great if you can self-service and publish free events, but once you have quirky questions, be prepared that it will be difficult to establish contact to a human person who can answer.",
Eventbrite makes life easier!,Simone F.,"Media, Development and Marketing Consultant","Philanthropy, Self-employed",Used the software for: 2+ years,NGC,Source: Software Advice,"Nov 16, 2017",4,5,4,4,5,10.0,,"Pros: Easy to use. You can have your event ticketing up and running in minutes. I have been using Eventbrite for ticketing for about five years. It has helped make event management so much easier. I used it for school admissions and event purposes, for nonprofit fundraising events where tickets were complimentary, etc. It is easy to specify the exact questions for my guests, gathering data on them that helps me in other areas. Easy integration into websites and emails. I have recommended Eventbrite to so dozens of businesses, organizations and individuals. Easy to use product and with all that I often have going on, it's nice to know I can depend on Eventbrite to quickly make a difference.","Cons: You can search for a registration based on a registrant's name. However, you cannot print a report by Registrant's last name. Not being able to print a registration report by the name of the registrant is the only reason I gave this product four stars instead of five stars. Help screens are good. The help response I received was very clear and easy to follow. It would be nice to have a live person to do a chat box with or talk to but so far, all of my questions have been addressed either in the Help screens or when contacting support.",,
Free platform for nonprofits to utilize,Abigail D.,Digital Marketing Specialist,51-200 employees,Used the software for: 1-2 years,NGC,Source: Capterra,"Jan 31, 2018",4,5,4,5,5,9.0,,"Pros: I work at a nonprofit with a small marketing staff. Before using Eventbrite, we were building our events on our website which looked awful and dull. It would take a lot of time for not much reward. With Eventbrite, I can create a basic event in a matter of a few minutes. I can make it private or public to be shared with the Eventbrite community. Best of all, most of our events are free to enter, which means it's free to post them on Eventbrite. It's easy to check attendees in at the door, download reports, and communicate last-minute messages with registrants. Eventbrite is a great tool more companies should take advantage of.","Cons: In some instances, we've held events that require many conditional questions to be completed during registration. Unfortunately, Eventbrite doesn't allow the function of complex, conditional questions, which can really slow down the registration process. On the backend, the menu names aren't the most intuitive. There are certain functions that are difficult to find, such as where to cancel an order, but after expanding each sidebar menu, you can usually find which what you need. My biggest pet peeve with Eventbrite is that if you create an event that takes place more then five weeks away, ticket sales will automatically be set to end in five weeks from that date, regardless of when your event takes place. There have been many times when I've forgotten to change this default date and received complaints of ticket sales being closed weeks prior to an event. I wish Eventbrite would make the default date the date of the event.","Overall: Eventbrite is free for free events, easy to set up and looks professional.",
Eventbrite Keeps the Clouds Away from Your Event,Linda L.,Funeral Concierge,"Hospital & Health Care, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 08, 2018",5,5,5,5,5,10.0,,"Pros: Planning an event can be difficult without the use of an event management software. My preference is Eventbrite. In today's society where people are so busy managing their own lives, its hard bring people together. From a moments notice, to 2-3 weeks in advance, using Eventbrite can make sure your event is anything but successful. Eventbrite offers tools to assure that you can keep up with the logical changes while you are on the go. It also makes it easier for invitees to respond while they are on the go. Its a win win with Eventbrite. It cost effective (no more purchasing expensive invitations and costly postage) and convenient.","Cons: Eventbrite needs to implement a 911 response team approach for customer service. Hit it, respond to it, solve it! Also, so many people are use the service now, I am unaware if it has safe guards against crashing and; if it does... what happens to my information? I do think that due to the high percentage of users at any given time, the system slows down considerably. This can be frustrating when trying to pay for an event or responding to an RSVP. The goal is stay focused on the goal. To assist users in planning and executing hassle, stressfree events.","Overall: My overall experience with Eventbrite has been great! I have read some unfavorable reviews but, that has not changed my mind. I have utilized Eventbrite for internal company events, planning external other social events and purchasing tickets to events. It easy to use and hassle free for the novice or the experienced party planner or event manager.",
Wanna go for events? The best place to find them instantly and track them over time.,Verified Reviewer,Funeral Concierge,"Information Technology and Services, 1001-5000 employees",Source: Capterra,NGC,Source: Capterra,"Apr 13, 2019",5,5,5,5,5,10.0,,"Pros: I have been using this application for over a couple of years and attending events from time to time.

It doesn't show you only the nearest events but within the country that makes use flexible to register and attend them based on our choice.

I have attended various events listed by Microsoft, Google and others that regularly publish them for free to attend tech conferences and stuffs.

Apart from this, it provides and interface where you can register for events, download tickets, receive notifications, manage your user profiles, filter events based on different categories or pricing, and much more.","Cons: Certain sections(common categories) keep repeating on the homepage of the application which could be avoided, although not sure if they wish to keep users engaged to click on them or for easy access.

Could improve the user experience to some extent!!",Overall: Must watch application if you love staying up to date with events across the country..,
Awesome Stuff,Bryan R.,,,,NGC,Source: Capterra,"Oct 08, 2016",5,5,5,5,5,10.0,"Comments: What do you like best?

If you know what you like and you choose your interests accordingly, the recommendations are always spot on. It's hard not to find something that would interest you and there are always lots of free events. I had to download the app before I moved to Glasgow because I bought a conference ticket through Eventbrite, but then I started to tinker with it out of curiosity and it quickly became a very useful tool. I was new in the city and it quickly exposed me to a lot of stuff I wouldn't have known about otherwise, I even managed to sneak into an Industry Day type event only older students were supposed to know about (and it was great, by the way).",,,,
