title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
A great inventory management tool that's easy to use for all employees!,Tanmay M.,Audio Engineer,"Media Production, 1-10 employees",Used the software for: 1-2 years,NGC,Source: Capterra,"Mar 04, 2019",5,5,5,5,5,10.0,,"Pros: What I like most about RepairShopr is the flexibility it allows its users in creating and maintaining varying degrees of inventory items. What if you had 2 products that were ""technically"" the same but varied in price, varied in build quality, etc. RepairShopr allows you to create those categories from the bottom up so you can create as much nuance as needed between various inventory items while abstracting away the ""back end"" of these complex rules to other users. This is great because you can have rather complex ""if then else"" scenarios in play for how certain items are to be used and the program is able to create conditionals that only ""pop up"" certain items which match the complex rules that the administrator can create. This ensures that employees don't need to be told to remember these rules: As long as they work within the system, they will never make a mistake (unless it's human error, of course).","Cons: What I liked least about RepairShopr is the interface to switch between users. It's very easy, while in a rush, to overlook that another user was signed in previously. While a huge portion of that is human error and employees not paying attention, perhaps a little more thought into the user interface would prevent this human error from occurring. Perhaps, adding a picture of the employee's face or some sort of visual avatar would be great so an employee knows that another employee is signed in. I think this, overall, ties into the user interface for RepairShopr which can be somewhat technical and very utilitarian. This isn't a bad thing but a more well thought out user interface that is far more human friendly could be extremely beneficial for users overall.",,
Not just for Retail Computer Shops,Charissa P.,Operations Manager,"Information Technology and Services, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Mar 02, 2019",5,5,5,5,5,10.0,,"Pros: The integration with other programs makes this unstoppable!

This ties a CRM to your POS to your ticketing system. Being able to integrate all of these makes this system one of the most powerful I've worked with. It doesn't feel overbearing either. I worked with Kaseya BMS and Connectwise and both of those felt like beasts. This took a lot of key elements that those two systems have and brought them down to a retail level at a price that all companies should be able to afford.

One of the best parts is that they are always integrating new features and squashing bugs. I was always amazed at how often new useful tools were being added. I'm pretty sure they don't have a huge team, but it felt like there must be hundreds of them with what was being accomplished.","Cons: Integration with Quickbooks Desktop is limited, but Quickbooks online is excellent. I wish it had the ability to map out locations to dispatch technicians too. It will track where your clients are at, but if you are trying to schedule multiple field techs, it would be ideal if you could see specific open tickets on a map (Maybe ones labeled ""Onsite"") and then be able to assign them to technicians based on location.","Overall: If you track inventory, deal with repair tickets, and need to keep up with marketing to your client base, then this is unbeatable. When I was operations manager for a Retail and B2B MSP we switched our retail side from Connectwise to Repairshopr and it was like night and day. It connected quicker, gave us access to our inventory, integrated with Quickbooks online, and gave us custom-ability to really make it fit our business model. As operations manager I was able to build this around our existing processes and make it flow seamlessly.

I now have moved to a telecom that could benefit from this, and the only reason I haven't switched are the two cons I listed. Both of them are offered by Quickbooks own ticketing system.

Don't let their niche market of Retail ISP shops fool you. I've heard of this being integrated into auto shops and other mechanical fields. If you are in a business that dispatches any sort of technician, then this is the product you need.",
"Repair Shop? Computer, Smartphone, Customer Management and Follow up so worth it!",Christian B.,Owner / Operator,"Computer Hardware, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Sep 11, 2018",5,5,5,5,5,10.0,,"Pros: -Automated personalization customer follow-up saves a bunch of time

-Asset Tracking

-Tickets that are trackable for each customer profile

-Continued updates to enhance the entire product

-Inventory Tracking

-Estimates

-Multiple Integrations with your website for

-Parts Tracking

-Leads and turning those leads in to sales

There are so many features that I want to use but because I stay so busy, I cannot use them all. If this bothers you, you have a plethora of options that you can turn on, or turn off. You can also set each user profile to a specific group, like Tech level 1, Tech level 2, Tech level 3, and assign them each with different access to different things.","Cons: -Lack of scheduling an employee(s) although there is a clock in/clock out feature

-Lack of payroll integration, I have to use a separate program for payroll alone

-Lack of being able to hide certain notes or a specific ticket or customer profile that may be an escalated issue, where you do not want your employees seeing.

-Lack of backup options built in to the plan at no cost, Repairshopr has been very reliable since I have been using it, I am not really concerned about not having this backed up.

I cannot really come up with many cons, this product is great, if you are in the repair business just suck it up and set aside the monthly spend, it pays for itself.","Overall: I have jumped from many different customer management systems, each one does it own unique thing. Repairshopr though has set the bar in my opinion. Repairshopr has really carved out a niche in the repair community. One of the most basic and simplistic things that sold me was the feature that lets you send out a automated email that is customized to say the customers name so it makes it look like you took the time to sit down and write this email. They call this their ""Marketr"" feature. You can actually set it to do any kind of email but where this sold me on Repairshopr was how you can have it follow up with the customer to make sure their repair is doing well and you can set this at different intervals. I have not changed it but by defaults it sends 2 emails asking how things are going the first 2 weeks and then another follow up in 90 days. I am big in to customer service and when I saw this feature, I knew I had to have Repairshopr. The time this saves is indispensable. I have really had a good experience with Repairshopr overall. Down time is almost non-existent. Any issues I have had where I have had to contact support has been really positive. I also like to see that my money is going to a constntly improving product. Everyone I have interacted with at Repairshopr has been wonderful.",
Made my business much more organized!,Matt P.,Owner,"Computer Hardware, Self-employed",Used the software for: 6-12 months,NO,Source: Capterra,"Dec 02, 2017",5,4,5,5,5,10.0,,"Pros: Previous to RepairShopr I was duplicating a google doc spreadsheet for invoices. I did a lot of on-site work, so I needed something that was ""cloud"" based so I could log in and make an invoice on the spot. There was no real organization or structure to my invoice system, other than a folder where I would drop paid stuff vs unpaid. RepairShopr changed the way I do business, my ability to track and maintain tickets (which I previously did by hand on paper), and gave me a module to track and follow up with my customers, which I had not been doing previously. What I was doing before worked for me at the time, but once I got RepairShopr I realized how much time I was waisting, and how ""broken"" my system of doing things really was.","Cons: The initial setup was tough; everything has a learning curve, and I'm pretty good at figuring stuff out. Modification of each module and the fields inside the modules took a lot of time to customize to fit my business needs. There are still parts of the software that I am not utilizing to their full capacity, partially because I've never needed to, and partially because I am not sure I want to spend the time to set them up.

That being said, the fact that you can modify each module and field makes the application of this software available to many different markets, not just computer/electronics repair",Overall: Made my life easier!,
Best Repair Ticketing System,Mark M.,Manager,"Computer Hardware, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"May 13, 2019",5,5,5,5,5,10.0,,"Pros: Our company has used Repairshopr ticketing system for 3 years. We've used other order management systems and this is one of the best systems for what it does. The management software has everything we need to streamline our store from purchase orders, inventory management, check-in/check-out, managing employees, and everything in between. Features are robust and branding can be customized to give customers a great experience while in your store. Post repair, we use the Marketr features and reporting to measure customer satisfaction. Integrates w/ Quickbooks and several apps. Constantly updated with new features and development. Couldn't run our shop without it.","Cons: Most everything I have had issues with over passed on to the development team. I would say time it takes to develop firm specific features, so expanding their API capabilities so outside developers can implement more features.","Overall: RepairShopr staff is great to work with. Whenever contacted, they point us in the right direction to find the information we are looking for.",
Excellent all inclusive program backed by perfect support,Chad W.,CEO,"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,NO,Source: Capterra,"Jun 08, 2019",5,4,4,5,5,10.0,,"Pros: The software fulfils every need we have, invoicing, ticketing, parts management, interfacing with the customer in an organized fashion, reporting, the list goes on forever (im only scratching the surface). In the rare case we need further explanation of a feature or we require support the support team is second to none. Price is very fair for everything it does. Our company completely relies on this product.","Cons: We would like to see the open invoice reminder section be developed. When relying on it for invoicing so heavily, its key to ensure constant communication is occurring between customers with outstanding balance and company. Since it syncs perfectly with quickbooks we have used external programs to handle AR, but it creates a mess of things syncing in terms of data authority.","Overall: Outstanding. Support team rocks, software is solid and reliable. Constantly improving which i really like.",
"Highly recommended, easy to use and critical to any MSP",Joshua C.,COO,,Used the software for: 2+ years,NO,Source: Capterra,"May 18, 2018",5,5,5,5,5,10.0,,"Pros: Several years ago I was transitioning my business from daily PC repair to full MSP. I knew I needed a better workflow system and I needed it to be easy enough for my sub contractors as well. I tried several solutions that didn't workout before I was lucky enough to find Repairshopr. I now rely on RS as the foundation of my business. Every estimate, invoice, contract starts with RS. My team works from all over the country now providing cloud services and we use RS to keep us working together, communicating with clients, invoicing and managing recurring payments with RS third party integrations.","Cons: Honestly, every issue I've ever had has been fixed and even the features I requested in the past have been added...",Overall: I was able to improve my business planning and scale up faster than I ever thought. This software made running my business so much easier and empowered me to take leaps. I simply could not have done it without RS.,
Decent software to allow tracking of goods/services with a pretty steep learning curve and certain quirks,Garrett W.,Consultant,"Management Consulting, 1-10 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Jan 18, 2018",4,3,4,5,4,7.0,"Comments: If you're looking for something with basic inventory tracking, purchasing, and invoicing, RepairShopr is a great place to start. While there is a steep learning curve and the software has it's own quirks and specific ways of doing things (or not doing things), it's very inexpensive in comparison and is very robust. The free version is completely free with no strings attached!","Pros: The free version is pretty much fully functional for our needs. The automated invoices are very professional looking and automate emails when an order is completed (once clicking the proper button on the site). You can keep up with the quantity of goods and keep track with how many are bought and sold over various time periods. The ticketing system works great and it's easy to tell if customers are past due with payments as well. Repeat invoices from month-to-month can be automated which is a HUGE plus and seems to always work! Designed for the IT business, but can be used for anything!","Cons: I rated low in certain aspects because the system is very convoluted compared to other softwares in this space. It seems like it takes extra steps and multiple pages to get to ""checkout."" I have to keep a cheat sheet handy because there isn't a simple way to invoice a customer. It would be nice if all this can be done from one screen, but the user must go to a different webpage for each step. Something else that is aggravating is the way the invoice numbering works. It's automatic and I have yet to find a way to change it. Each invoice can be changed manually, but that takes extra steps as well. None of this may matter to you, and with my subscription being free, I can't complain much. However, if I were paying, this would be something causing me to look elsewhere.",,
"***The best product on the market, backed by the most aggressive and prompt support team***",Lee J.,Owner,"Computer Networking, 1-10 employees",Used the software for: 6-12 months,NGC,Source: Capterra,"Sep 26, 2016",5,5,5,5,5,10.0,,Pros: Everything. It is easy to use and works proficiently.,Cons: The printing features could be a tiny bit faster but the support team has sent notices that they are working on this so I am confident this will not be an issue for long.,"Overall: We are very pleased with your product as it has a lot of potential and many features that we feel will make our customers experience better. More importantly, we looked for a company who will be as aggressive with their software and adding features as we are with improving our process so we love the Friday updates that tell about the new features/functions of the software.","Recommendations to other buyers: If you want a great system for your company which is proficient, scalable, and very competitively priced, this is it!"
"Great Product... ""Fits the bill""",Charles T.,Service Manager,"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jun 22, 2016",5,5,5,5,5,10.0,,"Pros: You can search on most any aspect of information regarding any previous work.

The forms are very customizable.

The import and export features of customer information.

Customers can track their work orders and progress of repairs online.

Love the SMS text and email features.

Love the On-site appointment calendar.

Repairshopr is constantly working on new features and improvements.",Cons: It's not free.... LOL,"Overall: I have been mostly doing break-fix & service for about 20 years And I been searching for similar system for a long time for documenting my work. We had been previously been doing our documentation on a spreadsheet, which was not very efficient. Repairshopr fits the bill totally, for tracking, estimates and complete control. With Repairshopr, it has really been able to automate this process of our business and produce professional results.",
