title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Amazing Product,Brandi G.,Office Manager,"Non-Profit Organization Management, 51-200 employees",Used the software for: 1-2 years,NGC,Source: Capterra,"Jan 09, 2019",4,4,4,4,3,9.0,,"Pros:

We were looking for an affordable and easy to use mobile bidding auction program and this one did not disappoint. The company sends a representative to the auction to basically be the point person and fix anything that might come up and help with check in, entering data, etc. They show up early and stay through the event. They bring tablets that are easy to use for our volunteers and staff.

Entering items and bidders is easy and functional. Your event can go live as soon as you'd like it to so that even donors that can't attend the night of, can bid on items. This increases revenue tremendously. They also helped us with not having small items but focusing on larger items of value and only having around 100-150 silent items. The colorful pictures and descriptions are easy to view on mobile devices. And if guests don't have a smart phone, we can help them bid on our tablets.

Guests receive notification of being outbid, but you can add am amount you are willing to pay and Gesture will continue bidding on your behalf until the amount is reached.

Guests are also able to check out from their device, so it makes check out a lot faster and smoother.

It is a lot easier to collect on balances as well because we collect credit card information before the event.

Guests received notification of being outbid, but you can add am amount you are willing to pay and Gesture will continue bidding on your behalf until the amount is reached.","Cons: If the tablets go down at check in, it pretty much puts everything at a stand still. Even though the tablets run without wi-fi.","Overall: Most of our donors and guests loved the new aspect of our Auction, including switching to mobile bidding/checking in and out. Instead of the previous years of pen and paper bidding. There were only a few people that preferred the old method and just couldn't seem to get on bored. People were concerned that guests would be on their phones all night and no one would be interacting but it was quite the opposite. People had more time to mingle not having to go back and check the paper bid sheets since there were none.",
"Gesture is the real deal for mobile fundraising; intuitive to use, with great customer support.",Anne S.,Development Manager,,Used the software for: 6-12 months,VRI,Source: Capterra,"Nov 14, 2017",5,5,5,5,3,9.0,,"Pros: The software is intuitive to use and streamlines so many of the processes that eat up your time when you have to do them manually; we eliminated so many Excel spreadsheets, thanks to everything being easily captured, managed, and tracked right within the software - from auction packages to ticket sales to even the seating and meal requests.","Cons: Since our event is coordinated by a mix of paid staff and volunteers, it would be helpful to have an administrative access level in Gesture that is ""view only"" - currently, it's all (full admin rights) or nothing.",,
The software is easy to use and provides a seamless experience for our staff and event guests.,Annie P.,Manager of Special Events & Annual Giving,,Used the software for: 2+ years,VRI,Source: Capterra,"Oct 27, 2017",5,5,5,5,5,10.0,,"Pros: The software is easy to use. It's intuitive and easy to navigate. It makes my job as an event manager much easier. Adding auction items, auction close out, and financial reporting are a breeze. It is also a smooth process for our guests. Bidding on auction items or making a donation is very easy for them, which means more donations for our cause. We set up our auction online in advance of the event. This gives guests an opportunity to start bidding on silent items, and become familiar with live auction items. All of this leads to more revenue to support our mission. I also appreciate the ability to customize our site so it looks like us. This creates a cohesive experience for our guests and helps us put our brand front and center. As a site administrator, I love the ability to download the generated auction sheets. This is a huge time saver. We also download the receipts and send to guests with a thank you letter after the event. It calculates the tax deductibility automatically on the receipt which is an essential feature.","Cons: There are a few custom queries/reports I would like which are not currently offered. It can be confusing as an admin to see clearly what funds have been paid and not paid. However, the staff are great and have helped me figure things out. They even created a custom report for me.",,
Excellent customer service and product was perfect for our 250 person fundraiser!,Allison P.,Co-Chair of Fundraising Event,,Used the software for: Less than 6 months,VRI,Source: Capterra,"May 10, 2018",5,5,5,5,5,10.0,,"Pros: Very easy to navigate the dashboard to build fundraising website and to upload pictures and descriptions of auction items. Bidders loved how easy it was to register for the silent auction, and we benefitted greatly from launching the website and opening the auction prior to the event. There were many easy tutorials for our volunteers to watch so that they could get comfortable with the online bidding system, and they were well equipped to handle questions from guests. We benefitted greatly from having an onsite specialist with us at the event. She was extremely professional, smart, highly capable and knowledgeable about the software, and she worked nimbly and confidently throughout the night to answer any questions and even offered suggestions that contributed significantly to the success of our auction - and on top of that, she was very enjoyable to be with! After the event, we were able to easily close our books and to process all payments (a significant improvement from many years of dealing with cash and checks and tracking down payments) and to run reports providing incredible data for us to review and learn from.",Cons: I cannot think of anything to improve this software. It was perfect for our event - simple to use and very geared toward serving a volunteer-based event!,"Overall: Streamlined auction process before, during and after event. We went ""paperless"" and didn't have to fuss with paper bidding forms and associated headaches. We raised more than $10,000 more than we ever raised before using an online bidding system. We look forward to using again next year!",
Amazing event support,Verified Reviewer,Co-Chair of Fundraising Event,"Non-Profit Organization Management, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"May 03, 2019",4,5,4,5,5,9.0,,Pros: Easily create auction website to link to your website. Bidders receive texts when they have been outbidded. You are able to create endless silent and live auction items for your page. Event support is so responsive and you are able to customize your support needs for in state and out of state events. Their team arrive to your event with ipads to complete donor bidder profiles on site. They will come to your booth in exhibit hall and encourage people to register for bidding. They are super friendly and outgoing and are great as live auction spotters. They raise far more than their cost and double our giving. You are able to even enter in different pledge amounts as donation items on the auction site.,"Cons: They are a little costly however it's worth it for a smooth, successful event. I do wish the website was a little more attractive and grouped the silent and live items together. The items appear kind of small and cramped together.",Overall: GiveSmart provides much needed day of event support as well as an easy to use interface for auction bidding. Reporting has helped ease the closeout process and assure everyone receives their items and we receive payment. They send continuous follow-up to donors for payment post event. You also have access to crowdfunding for 6 months after your event has ended.,
HIGHLY satisfied customer for over 5 years now. Amazing customer support!,Kenneth M.,Chief Operating Officer,Military,Used the software for: 2+ years,VRI,Source: Capterra,"May 11, 2018",5,5,5,5,5,10.0,,"Pros: Easy to use, customize and edit and update. Features offered have improved each year we have contracted with Givesmart. ""One stop shopping"" for event and auction management. We have utilized more features each year. What started as just utilizing auction management capability with limited effort into making the online auction site attractive has evolved to guest ticketing, table assignments, a highly customized auction site that reflects the event theme and with real time auction progress and bids scrolling on large screen ad televisions throughout the event venue to increase people's competitive bidding nature. After action information has been vital to determining what auction items had the most interests and highest profit margin. Has enabled us to better focus solicitation efforts for the next year.",Cons: Really very few cons for the software. Only limitation observed was limited printing options for auction item description for printing on card stock. There needs to be several options for the size and information/photo of the descriptive card tents.,Overall: Nearly full event management by using this software.,
Gesture offers excellent professional software with outstanding customer service.,Crystal P.,Principal,,Used the software for: 2+ years,VRI,Source: Capterra,"Oct 31, 2017",5,5,5,5,5,10.0,,"Pros: Gesture's software is user-friendly, fun to utilize and has a clean, professional look. I thoroughly appreciate Gesture's frequent software updates. They are continuously in search of even better ways to improve upon the customer experience, which they communicate through their Gesture Innovation Center emails. I believe that they value customer opinions and implement suggestions, accordingly. As an event planner, other companies often approach me, but none offer the experience Gesture has given my clients over the years. Our account manager, Allie Erickson is on top of our every need, patient, accessible, friendly and helpful. Our on-site manager is thoughtful, communicative, professional and kind. The Gesture team is trustworthy, diligent and fully dedicated to their customers. Every year, our attendees highly rate Gesture in our post-event survey. We have remained loyal to Gesture for many years and will continue for many more to come.","Cons: I would like to remain logged onto the system longer, but I understand that the system logs me off for security purposes. I really don't have any complaints.",,
Worth the investment to skyrocket your event fundraising!,Meghan G.,Manager of Auxiliaries + Volunteer Leadership,"Individual & Family Services, 501-1000 employees",Used the software for: 2+ years,VRI,Source: Capterra,"Oct 31, 2017",5,5,5,5,5,10.0,,"Pros: Ultimately, it has very clear ROI for the agency. The transition from paper building to mobile has drastically increased our pre-event and day of event fundraising. My favorite part about the software is the increase in funds collected the night of the event. It was incredibly unfortunately how much staff time we had to dedicate post event to collecting money, for many of our events we not have 100% funds collected the night of the event, which frees our staff up to focus on thanking donors. Lastly, the interface is very easy to understand and navigate. We have a number of events that have more mature attendees, who were skeptical when we began to make the transition from paper to electronic. After one use they all required we use the technology at future events. This is also a credit to the Gesture onsite staff who really meet the attendees where they are at and give extra attention when needed!","Cons: I guess my comments would be both a pro and a con. The fact that Gesture is constantly evolving and improving the technology it can sometimes be hard to keep up with all of the current offerings and capabilities as a client. This is one of many vendors you work with so it can be hard to keep yourself educated. Although, this is when you really rely on your account manager to relay this information to you, which our, representtaive, does a wonderful job.",,
I think the staff at Gesture are wonderful!,Heather D.,Director,"Non-Profit Organization Management, 501-1000 employees",Used the software for: 6-12 months,VRI,Source: Capterra,"Nov 02, 2017",3,3,3,4,4,7.0,,"Pros: I love the ability to add photos, descriptions, bid, buy it now pricing, and much more all in a single entry of an item. I also really like the ease in which bidders can participate, get alerts, and have knowledge of their purchases. Finally, the added bonus of a PR team to work with was an extra perk I was not expecting!","Cons: There are certain gaps in the software we have discovered such as: Nowhere to record solicitors such as staff, committee, or Board member who was responsible for bringing in the item; Nowhere to record an individual's name associated with a company in donor details; Nowhere to record details for pledged item, such as when it will be delivered, staff pick-up needs, etc.; Need to have ability to check box if donor has already received thank you for their contributions (such as when it went unsold at a past event and is being used again); Non-transferrable input from one event to another such as donor information. I also have major concerns over the software abilities to capture donations during the ask. There is simply no way to ensure those that raise their hands, are actually hitting the button to donate that is texted to them.","Overall: During this first year in using the software, I saw the additional benefit of securing bids in advance of opening the auction. This started us out thousands of dollars ahead of where we would have traditionally began at the event.",
"My experience with the gesture site was easy, worry and stress free.",Verified Reviewer,Director,201-500 employees,Source: Capterra,NGC,Source: Capterra,"Dec 08, 2017",5,5,5,5,5,10.0,,Pros: The gesture software is very easy to learn. I am new to the website and it only took me about an hour to figure everything out. Everything is pretty self explanatory. I had to create an auction site for a silent and live auction. Adding each item came with ease. When you go to add an item each section is categorized telling you exactly what information to put in. I also found it very easy to go back and change things if I had made a mistake. The site is easy for others to use and view the auction items I posted. I felt that the crowd we were trying to attract was the older generation of people and this site allowed them to have the ability to see each item without complication. I really liked that the software told you who was watching certain items. It was easy to generate an item sheet in order to print them out and post them for our auction.,Cons: I think my least favorite thing about this software is trying to figure out when someone bids higher than you and who it is. I found that I had trouble when I bid on an item. My friend and I really wanted an item and we kept out bidding each other but didn't realize we were the only two bidding. I wish it would tell you who is bidding against yo.,Overall: I had a wonderful experience with this software. I found it was easy to make my own auction site.,
