title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
"Well-rounded event management tool for non-profits, small, and medium businesses",Phil O.,"Team Lead, Student Recruitment and Prospective Student Centre","Higher Education, 501-1000 employees",Used the software for: 2+ years,NO,Source: Capterra,"May 11, 2018",5,5,4,5,4,10.0,,"Pros: I've used Picatic across a two post-secondary institutions and with multiple non-profit groups. Picatic provides flexible and easy-to-use tools to handle registrations, check-ins, payments, and communication for your event. The crux of the system is in the ability to quickly create an attractive and responsive basic event registration in very little time. The ability to collect robust, custom information from clients is very helpful. Recently-added capacities to work in teams/groups and to manage events with multiple dates are very welcome. Support staff are quick and helpful.","Cons: Some of what makes the software the simplest/friendliest also causes some restrictions - i.e. the survey tool is limited in its configuration options meaning you cannot structure/validate the data, or the multiple parties cannot register together (parent with child, spouse with spouse).","Overall: This software provides a single tool for our department of four to create, administer, and market events to our clients and prospective market.",
Easy to use ticketing product with a very reasonable price tag,Amanda G.,"Director, Brand Design","Automotive, 11-50 employees",Used the software for: 1-2 years,NO,Source: GetApp,"Mar 24, 2016",5,5,4,5,4,10.0,"Comments: Our company needed registration for two different types of events, a race/rally and a tour. Being completely new to the event space, we didn't realize how useful the management tools would be. The attendee lists, analytics, and email tools were crucial. In addition, Picatic's interface is really user-friendly. Our team had varying degrees of computer skill, and no one had a problem navigating the management tools. We required support to issue a complicated refund, their support team was prompt and friendly when dealing with our team and customer. Overall we've had a great experience with Picatic's product and team.","Pros: As mentioned, the management tools were a huge asset to our event. Now that we've used them we'd have a hard time living without downloadable entrance lists, attendee surveys, Google analytics, and Mailchimp integration. Picatic's interface is also really nice, it was user-friendly and intuitive.",Cons: There are a few features missing. (I understand that start-ups need to start somewhere and build up) We would love the ability to add time zones and close an even early. We would love to take advantage of their API for future events - a more seamless check-out that looks like part of our website will be really beneficial.,,
Simple And effective,Mike D.,Owner,,Used the software for: 2+ years,NO,Source: Capterra,"May 11, 2018",5,5,4,5,4,10.0,,Pros: Super easy to use and doesn't have any glitches. It is super quick and easy to set up events update them and pull up reports at a glance,Cons: Wish that I could do T-shirt sizes and add-on items on the app when checking people in. Its a huge deal for a large event,,
Outstanding platform that handles my events like I have a team working with me!,Jennifer S.,CEO,,Used the software for: 6-12 months,NO,Source: Capterra,"May 11, 2018",5,5,5,5,4,10.0,,Pros: I love that it is so easy to use. The structure is intuitive and it is easy for my clients to use as well. There are lots of features that allow me to host my event the way I want to - I can set it and forget it! Love the updates that come to my inbox and the ease of refunds and the customer support is AMAZING!,Cons: I love it all. There is nothing that I do not like about this software platform. I would love one spot to download reports in easy PDF format for my accountant :),,
"As an event planner, I am looking for ease of use for myself and my clients - Picatic does it all!",Jennifer D.,Owner & Lead Coordinator,,Used the software for: 2+ years,NO,Source: Capterra,"May 17, 2018",5,5,5,5,4,10.0,,"Pros: - Ease of use for setting up events

- Donation options for fundraisers

- Quick and easy to set up your account initially

- Reports available to event organizers

- Being able to mass email attendees

- Comp tickets easily setup and distributed

- The Picatic app for checking in patrons

- Quick and friendly customer support

- Up to date on trends and technology

- Choice to pay or pass on the ticketing fee",Cons: I have yet to find a Con with Picatic. I have been pleased with my experience on the multiple events that I have setup.,,
The Picatic interface is very easy to use and we have always had great customer service.,Michelle B.,branch executive member,,Used the software for: 2+ years,NO,Source: Capterra,"May 14, 2018",5,5,5,5,4,10.0,,Pros: I love how easy it is to manage our events through the website. We can gather all the information we need through the surveys and the Picatic collects everything into useful reports that we can download and save. This cuts down on the need to go back and forth by email with registrants.,"Cons: In the past we have had some trouble with cutoff times between early-bird and regular ticket sales, but the Picatic team was very responsive and have made changes to address this. We found this aspect easier to navigate with recent events.",,
Picatic is Great!,Gabriella B.,,,Used the software for: 6-12 months,NO,Source: GetApp,"Apr 05, 2016",5,5,5,5,4,10.0,"Comments: I have used Picatic for 2 events now (one Halloween Fundraising Event and one to ticket an Independent Film screening), and I absolutely love the service. The main appeal for me is its user friendly interface and customizable nature. For both events, I have been able to set up very aesthetically pleasing pages with custom graphics, posters and videos. I also very much appreciate that all customer information is collected and a guest list is complied for you.",Pros: -There is always support available if you run into troubles. I personally have rarely needed to use the customer support because the set up process is very easy to follow. - Donation feature and customer survey features are great additions to the regular ticketing app. - Visual customization easily done.,"Cons: - When loading a video onto your page, I noticed that it can only appear at the top of the page. It would be cool to be able to imbed this anywhere on the page, just like you can imbed photos.",,
A classic site for ticketing.,Verified Reviewer,,,Source: Capterra,NO,Source: GetApp,"May 11, 2018",4,5,4,5,3,8.0,,Pros: It is easy to use this system. It is great it has different features available. A big pro is that Picatic is always innovating new features for a better customer experience.,Cons: The price has increased significantly over the past few years. This has been a challenge for our nonprofit organization that does not make as much money as a hospital foundation or foodbank so it is posing a challenge that could eventually direct us elsewhere.,"Overall: The features are ample for a good ticketing site, and the customer service is really good.",
Great Canadian Product for Events,Jane Ellen F.,Owner,,,NO,Source: Capterra,"Jun 29, 2015",4,5,4,5,3,8.0,"Comments: It is awesome that a Canadian company has come up with a way to give events a free service. Setting up tickets & the ticket website was very easy. One does not need to know any coding language making this a very appealing system to volunteer/charitable groups. If you are in need of a simple system, this is an event ticket system for you. I would highly recommend it to volunteer/charitable groups running an event that need a simple registration system with a ticket output. I personally look forward to the system evolving. Currently the additional fields answers download in a separate report known as ""Guest Surveys"", thus having to merge the entrance list and guest survey list together for a complete report - if you are not good at excel, this would be a hindrance. As well, you can't run multiple events, with different bank accounts, under one Picatic account. As an event planner who has multiple clients, with multiple events, this means running multiple accounts and is inconvenient. All in all, it is a great system that just needs some time to evolve. I love getting my weekly sales reports in my inbox - I don't have to go into the system to see how the tickets are selling. Thank you Picatic - I can't wait to see what you do next!",,,,
Was able to upload information quickly.,Tracey C.,admin support,"Non-Profit Organization Management, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"May 15, 2018",4,3,4,4,3,5.0,,"Pros: Takes credit card payments and easy to edit. Can pay for multiple ""tickets"" at one time. For the most part was user-friendly for the attendees when registering, although a few did have difficulties with payment.","Cons: Not as user-friendly as I hoped. Had to contact CS frequently because the process to make things active was not super self-explanatory. Event attendees did get confused as to if they had to bring their ""tickets"" to the event.",,
