company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
brushfire,Brushfire: A perfect solution to Hillsong's small to large scale event's ticketing and registrations,Robert B.,Chief Information Officer,"Information Technology and Services, 1001-5000 employees",Used the software for: 1-2 years,NO,Source: Capterra,26-May-17,5,5,5,5,5,10,,"Pros: I have been responsible for our large event's ticketing and registrations for a number of years as well as the technology and information areas for Hillsong Church. Two years ago, after meeting with the world's best ticketing platforms and providers and coming to the realisation that they could not support our specific requirements as a church requiring complexity and depth in our registrations, we decided to build our own software. However, we understood the gravity of the decision to develop such a system and weren't excited about the journey ahead. I was introduced to Brushfire Technology and their ticketing and registration platform. After a very short time and no upfront costs, Brushfire's solution had proven itself as the perfect solution for our needs, with their unique understanding of industry standards around software development and the nature of the church, we had found our answer. This allowed our conferences and events to move forward and our technology department concentrates on other issues.",Cons: ..............................................................................................................,,
brushfire,Best ticketing service available,Patti C.,Marketing Specialist,"Entertainment, 1001-5000 employees",Used the software for: 2+ years,NO,Source: Capterra,22-May-17,5,5,5,5,5,10,,"Pros: I can monitor orders, agents and release seats from ANYWHERE at ANY TIME, including opening the balcony seating from my phone 200 miles away during a homecoming football event. It is flexible to include seating choices, dinners and other add-ons, and promotional codes. It is easy to create revenue reports and monitor volunteer agents who handle money. We scan tickets at the door from tickets, e-tickets, and smart phones. It also has e-Blast capabilities to communicate with patrons.",Cons: It doesn't automatically show orders as fulfilled when you print. You have to mark the will call orders as you print.,"Overall: Easy monitoring of entire system. This is especially important when using volunteers to take in money. It is web based and can be used or monitored from any computer or phone and offers multiple payment and delivery options. You can ""see"" which agents have placed orders. I also like the availability the patrons have to email me directly if there is a problem. The map and directions are also helpful.",
brushfire,Next level platform!,juliette b.,CEO,"Hospitality, 1-10 employees",Used the software for: 6-12 months,NO,Source: Capterra,25-Jan-19,5,5,5,5,5,10,,"Pros: I like the organization & variety of it all. It's not just a template site, but you can make it customized in how you want it with ease. I like the daily notification of sign-ups, automatic welcome email, and all the back end details that the software provides. Also, when registrants sign up, they can login back in and track their payments and amount owed.","Cons: It's very overwhelming because there are a lot of moving parts & options I didn't know about because it's very complex. However, that is solved by customer service call.","Overall: Setting up an account on Brushfire is a life saver. Initially, I had problems with keeping all of my data organized, sending out emails and keeping track of registrants. However, through the help with my amazing customer agent, I was able to accomplish a successful set up with a professional and organized site. He even made me aware of options that I was not even aware of. I would say that the customer service was my highlight, as I felt that he was directly with my team. He literally set up calls with me until everything was working smoothly and to my complete liking. He was the most patient person I've worked with that wasn't directly tied to my ministry. He truly took on the care of ensuring a thorough set up as if it was his own. I truly value my whole experience!",
brushfire,Brushfire Software,Lori M.,Finance Director,"Non-Profit Organization Management, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,9-Jan-19,4,5,4,5,4,10,,"Pros: We use Brushfire for ticketing for a number of events every year. The software is easy to set up and use. The fees are more reasonable than some other options that we looked at. It's very customizable to different events, different venues and different prices or add-on's within an event. We have utilized the coupon codes for special offers and I the reports are helpful for tracking income, attendees and for making settlement on shows that are based on doors sales or percentages of door sales. We also use the Brushfire app to ""check in"" people to an event, using mobile phones or ipads.",Cons: It would be helpful for the email confirmations you receive to include the event name along with the event number.,,
brushfire,Working with Brushfire has been a great experience! I love the product and the team behind it.,Lindsey B.,Communications Director,"Religious Institutions, 11-50 employees",Used the software for: 1-2 years,NGC,Source: Capterra,16-May-17,5,4,4,5,5,9,,Pros: I love the reporting module! It is very user-friendly compared to some other reporting software that I have used. I also appreciate the ability to customize event set up for the needs of our organization. I think we do some wild things sometimes that Brushfire handles well and I have even had cases where the team changed the software to function better for our needs. Brushfire has LOTS features and helpful tools! Sometimes I feel as though we have just scratched the surface.,"Cons: The many features Brushfire offers came with quite a learning curve for me (BUT, BF team is always quick to help me out!). It took me about 6 months to feel like a savvy admin. That being said though, I feel as though our organization does some intense things with ticketing that may add an element of complexity. :)",Overall: Better registration experience for our customers and organization for our team!,
brushfire,We use this for payments of special event tickets and ongoing donations & student deposits,Verified Reviewer,Communications Director,"Higher Education, 201-500 employees",Source: Capterra,NGC,Source: Capterra,13-Feb-18,5,5,5,5,5,10,,"Pros: Very versatile - ticket registrations, payments, easy to refund, downloads into excel. Love the ease of reporting & use.",Cons: Only one email can be set up to receive the alerts & immediate payments for each event. This isn't a big concern for myself but we have so many different departments using the software it is more complex for us because there are so many users. Love it though. Anyone can log in and find their own reports so this isn't a major con.,Overall: Flexible registrations and ease of reports. Ease of refunds.,
brushfire,I absolutely love Brushfire. The system is super easy to use and understand.,Jonathan K.,Admin Assistant,"Non-Profit Organization Management, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,16-May-17,5,5,4,5,5,10,,Pros: I love the flexibility and all the options for setting up attendee registrations and event data. It makes things so easy.,Cons: The promo code system is a little bit constraining. I would like to be able to set a number to limit code uses. currently the date option to limit codes is good for most situations but this would be the main thing I would like fixed.,Overall: I have benefitted by reducing the time it takes for me to accomplish my tasks and updating registration information. I also save so much time with the reporting system.,
brushfire,We love Brushfire. They feel like family.,Hannah E.,Associate Director,"Events Services, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,24-May-17,5,3,4,5,5,10,,Pros: Customer service and adaptability are my favorite things about this software. Thank you for all you do to customize it.,"Cons: Pulling reports feels confusing and hard. We had a hard time figuring out how many tickets were meal tickets versus tickets. Also, when I need data it's just hard to know which report presents it best. However, I'm not sure there is a better way. I just think it's sort of the way of the data reporting world.",,
brushfire,Brushfire has been such an incredible company to work with for all of our events!,Rachel K.,Events Associate,"Religious Institutions, 201-500 employees",Used the software for: 1-2 years,NGC,Source: Capterra,16-May-17,5,5,5,5,5,10,,Pros: We are able to customize all of our events in a way that best suit us! We have had many different types of events with different seating maps and locations and Brushfire has been such a big help as we explore new and better ways to plan for our events!,Cons: There are only a few minor things that have been an issue such as the inability to take certain options (like access codes) off of the page. It has been confused multiple times for promo codes.,Overall: It is very helpful for us with all of the different events that we do! The call center is SO helpful and the team is so helpful and amazing to work with :),
brushfire,Brushfire has all of the qualities of a great software!,Valerie S.,Accounting Support/Purchasing,"Higher Education, 201-500 employees",Used the software for: 2+ years,NGC,Source: Capterra,16-May-17,5,5,5,5,4,10,,"Pros: Great reports for our staff to give updates and great accounting reports!Customer Service has a fast response time! Brushfire is easy to use and to make changes.","Cons: Some visual designs for our customers are a little cumbersome - maybe less ""clean"" and simple than we would like, but overall very functional.",Overall: Offering more options to our customers with making online purchases. Also the ease of reporting for accounting purposes is excellent.,
