title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Weemss offers an amazing experience,Jeremie M.,"Founder, organizer and curator",Entertainment,Used the software for: 6-12 months,NO,Source: Capterra,"Mar 07, 2018",5,4,4,5,5,10.0,,"Pros: The user interface is great, easy and fun to use. Every functionality is there from coupons to special offers. The website integration works great on every platform and its design is so great and up to date that it fit perfectly within our website. And the responsive functionality makes for such a better experience for our customers. Emails are great and we only had positive feedback about them. Allowing customers to print their tickets and then SCAN them (how amazing is that) once they arrive at the event. On the backend, we could had every information we needed a click away and the feedback presented as graphics gave us great insights about our customers and allowed us to learn about who they are and how to target them.

Weemss is also way cheaper than other companies who offer a weaker product they try to pass off as great when its really not.

So yes, Weemss does offer an amazing experience!","Cons: Well, nobody likes to pay a fee on each ticket, but unlike their competitors, Weemss only take a tiny portion of the profits and use it to create a better user experience for both us - organisers and such - but also the person buying the tickets.

So much that it makes us happy not only to pay less than we would to their competitor, but also to know that the money is used to offer a better experience to our customers.

Because we are based in France, we would have liked a more international experience. Some sentences feel badly translated from english to french, and that's something our customers notice.

We would have loved to be able to fully customize the printed ticket, which we were only able to remotely do.",,
Look no further for your ticketing needs,Elenko E.,Chairperson,"Sports, 1-10 employees",Used the software for: 1-2 years,NO,Source: Capterra,"Feb 10, 2017",5,5,5,5,5,10.0,,"Pros: ease of integration, ticket flexibility, marketing automation, api / zapier abilities, uptime, swiftness","Cons: we're using the software for running races and there are a couple of things that could be added:

- donations as part of the ticket

- multi-lingual support","Overall: I'm writing having 2 full years of experience using WeeMss for our organisation. This software turned to be our CRM, to be honest.","Recommendations to other buyers: Try it, you won't regret it"
"Weemss is the system, which allows us to develop our business and organize our events professional.",Yoana V.,Project Manager,"Professional Training & Coaching, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 22, 2018",5,5,5,5,5,10.0,,"Pros: The best thing in Weemss is that there are many options and settings and in that way we can customize the registration forms according to our needs. Other very useful things are different methods of payments, automatic messages to registrants, the use of facebook pixel, excellent support.","Cons: It is very difficult to say. For example when we have a free event, we have a hundreds of registrations and hundreds of emails about that. So it will be useful if we could stop that emails but still receive ones for other events.","Overall: Easy organisation of our events, easy registration forms for our customers, easy processing of data. All this leaded to more sales, more income and new opportunities for our business.",
We use weemss to manage our Innoawards contest since 3 years already.,Denitsa M.,Project coordinator,,Used the software for: 2+ years,NO,Source: Capterra,"Jul 10, 2018",5,5,5,5,5,10.0,,Pros: It is a handy tool that helps us organize submission and evaluation steps of our contest. We are able to create variety of nice entry forms for our participants. We can also clone the entire setup of the contest for the next editions that saves us time and efforts as organizers. The platform offers lean but stylish designs to be used as layout for the event web page. We can share access to the platform for co-organizers or invite jury members to vote on-line. All analytics are exportable which helps keeping track record on activities especially for project-based organisations.,Cons: We'd appreciate functionality that makes the contest web page bilingual in order to promote the contest and awardees locally and internationally.,,
Event Management Tool,Martin P.,CEO,"Education Management, 1-10 employees",Used the software for: 6-12 months,NO,Source: Capterra,"Feb 08, 2017",4,5,2,5,5,10.0,,"Pros: Easy to use.

Very professional looking.

All possible options for languages and currencies.

Big range of options for payment methods.

Simple and very cool!

Excellent customer Service!",Cons: Limited ability to customize the design of the landing pages.,Overall: Its one of those tools that makes you WOW while using it. I not only use it but also refer it and now we use it professionally in the company I work.,Recommendations to other buyers: No you are great!
Great for event managing!,Victoria D.,Managing partner and Community manager,"Events Services, 1-10 employees",Used the software for: 1-2 years,NO,Source: Capterra,"Jan 14, 2019",5,5,5,5,5,10.0,,"Pros: As an event host and organiser, we need easy-to-use app so our guests could sign up fast and get as much information they need about the event.","Cons: That it's not free for free events. However, I find the fee pretty reasonable since unlike a free software Weemss gives you so many great features.","Overall: Well, first of all all guests sign up really easy, second - we can customize event page (when promoting free event, it's great benefit), and last, but not least, we can keep in touch with everyone, sending useful info, links and questionarees.",
Interface really friendly,Anais B.,Event organizer,"Events Services, Self-employed",Used the software for: 6-12 months,VRI,Source: Capterra,"Dec 04, 2018",5,5,4,4,4,8.0,,"Pros: I've been able to compare with other ticketing websites that might be slightly cheaper but the interface was not good compared to Weemss. It's easy to go through the different kind of infos, and easy to take actions without being afraid to do a mistake.",Cons: My country currency wasn't directly supported by Weemss or the gateway payment platform. So payments had to go through conversions before arriving into my bank account. And we were losing a bit for each transactions.,"Overall: Once again, the interface makes it really easy for organizers to use and have a overview of their event.",
Best out there,Rob W.,Director,"Education Management, 1-10 employees",Used the software for: Less than 6 months,VRI,Source: Capterra,"Oct 26, 2016",5,5,4,5,5,10.0,,Pros: Easy to use / quick to get started / good customer care (Was - pricing system),Cons: Not sure how the pricing system will now affect me - depending on price of ticket / free events etc. Time will tell.,"Overall: After previously using Eventbrite, Ticket Tailor and a few others for paid for events - I migrated to Weemss. One of its strongest features is offline payments. Weemss has a really clean, easy to use interface and there are various marketing / promo options that are more flexible than other cloud based software. Customer service is exceptionally quick - (chat room or ticketing on the site).",
Very simple and complete ticketing software,Georgi G.,CEO,"Marketing and Advertising, 1-10 employees",Used the software for: 2+ years,VRI,Source: Capterra,"Jul 13, 2016",5,5,5,5,5,10.0,Comments: I organize events for more than 4 years and in last 3 i am using weemss to control processes and sell tickets.,,,,
Love it - simple and easy to use!,Victoria P.,Office Manager,,Used the software for: 6-12 months,NGC,Source: Capterra,"Feb 22, 2018",5,5,5,5,5,10.0,,"Pros: I thoroughly enjoy the ease of use of the Weemmss System. Without any training, staff can enter event details and make it live.","Cons: The ticket commissions are quite expensive. We find that when using the system, we are paying a significant commission.",,
