title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Tix Cares! *Best ticketing Company...Bar none.,Beatriz B.,Marketing Coordinator,"Gambling & Casinos, 1001-5000 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 20, 2019",5,5,5,5,5,10.0,,Pros: Customer service is the BEST! No words can describe the amazing service Tix provides.,"Cons: Not many people know about Tix. If more people knew, Tix would be the #1 ticketing system in the world!","Overall: I had no background on ticketing systems, Tix manager took me under his wing and now I can create events in minutes. Our reo gives a personalized customer service, based on your company's needs. He's patient and he has a great team, he's the very definition of a good manager. Experiencing a big ticketing company right now and it's disappointing of how poor the training and the customer service is. when you think of a big corporation you think they'll have and provide all tools needed to succeed. In reality, they care about the high fees and selling but not caring how it gets done. Tix cares about the success on both parties and they care about customers providing low fees. Each account is a priority to Tix, they help as much as they can. To a big company, 1 account is nothing, and they make you do the job for them. Tix also cares when creating a new venue map, their team must be geniuses because all I have to do is send them a PDF and they do the rest (at no cost), at the same time they let you know if something doesn't look right of if you missed a row or a seat number. They've saved me from a few mistakes and embarrassment, instead they help me succeed and look good to my superiors. If you're looking for a ticketing company Tix is the right choice. No question is stupid or not important to our rep, he never acts like he is too good to answer he never makes you call the appropriate person to help you, if you have an issue he's there. Thank you!",
"Couldn't be more pleased with Tix, Inc.'s web based Box Office software!",Carleton U.,Treasurer,,,NO,Source: Capterra,"Apr 04, 2016",5,5,5,5,5,10.0,"Comments: After much research into the various vendors for on-line ticket sales, Zanesville Community Theatre, Inc., a small community theatre in Zanesville, Oh, made the leap into on-line and and off-line credit card sales in June 2004 with Tix, Inc. At the time, ZCT didn't have the CC transactions necessary to support our own merchant account. Tix, Inc. supported us with their merchant account.",,,,
TIX is the answer we needed--Great support and patron experience,Jennifer E.,Data Systems Coordinator,"Religious Institutions, 51-200 employees",Used the software for: Less than 6 months,NO,Source: Capterra,"Oct 13, 2016",5,5,5,5,5,10.0,,Pros: Patron experience is excellent. Help library is great. Customer support is excellent.,"Cons: Sometimes the reports do not output to excel correctly, but the developer said this is a known issue and is being resolved.","Overall: We wanted an easy-to-use system where patrons could select their own seats for events in a 1500-seat venue and our smaller 450-seat theater. Going from our old paper system to TIX was a great decision. We were looking for a reasonable fee structure and solid customer support--TIX has both. Another feature that was important for us was to be able to hide the fee for certain events and TIX makes that easy to do. Sales reports, customer data and back-end management are easy to use and the TIX help library is excellent--anything I have not been able to figure out has been quickly responded to from TIX support via phone or email. I've also been impressed by the personal rapport of my support specialist--when I call, she knows who I am and is familiar with our organization's venues and events. I'm sure she has many clients to attend to, but I have had excellent response to each call or email--always within the same day!

Many of our patrons are older and I have heard nothing but positive responses from those who have attempted to make online purchases through TIX. We have some who call or walk in for a ""box office"" experience, and those orders are easily handled. Since our TIX site is branded to look like our own website, many purchasers do not even recognize they have left our website to make their purchase.

TIX is exactly what we were looking for.",
The Excellent Customer Service has made working with this system a breeze!,Rita A.,Box Office Manager,,,NO,Source: Capterra,"May 04, 2016",4,4,5,5,5,10.0,"Comments: I have worked with these people and this system for seven years working for three companies. While there are some glitches, overall the system is simple to use and the Customer Service is outstanding! They have enabled me to streamline processes that were consuming more time than humanly endurable with the automatic renewal system. They advise me of the system parameters and what it can do for me, and have educated me to use it proficiently throughout the years. They take ownership of my problems and resolve them by whatever it takes to get the job done, including being most accommodating customizing reports, seat maps, customer letters, emails, etc. as needed and adapting their programming to meet my unique needs, a rare option in this world! I have never experienced more concern for my issues and dedication to resolving them than I have with this staff of experts. They continually enhance and improve their system and incorporate my requests whenever possible. They are truly committed to excellence going above and beyond providing extraordinary Customer Service and are quick to respond to my often urgent needs and resolved issues I deemed hopeless. They listen to my problems, have eased my frustrations and spent hours and hours on the phone with me and my complications over the years. I have worked with other systems that had no one to talk with and no ""phone a friend"" option which I found unbearable. Although I have never met any of the staff, I regard them as my friends as I am the friend in need and they are the friends indeed!",,,,
Great ticket company and excellent customer service.,Alan G.,Box Office Manager,,,NO,Source: Capterra,"Apr 22, 2016",5,5,5,5,5,10.0,"Comments: PROS-

-24/7 support and customer service

-low fees

-free setup, no long tern contract or start up fees and no hidden fees

-offers a variety of options to help build business

-customers have chance to choose their own seats/tickets via real time seating chart on line

-easy and wonderful to work with, very accommodating and go above and beyond

-able to customize floor plans and seating options to fit arena with a variety of seating layouts

-offer general admission and reserved seating options

-able to offer options such as pre sale codes, discount codes, and surveys",,,,
"Simple, Great Customer Service that is always there to help and make things work properly",AJ M.,Operations Manager,"Sports, 11-50 employees",Used the software for: 2+ years,NO,Source: Capterra,"Jun 06, 2018",5,5,5,5,5,9.0,,Pros: It is a simple program to use. Easy Setup events allows you to get other work done to make your event successful,"Cons: Lack of social media connection. Lack of information that can be placed on the tickets and being and to use the same information on the online and box office tickets. Need to be able to rename the categories on the e ticket to be able to put

more coupons. Need to have an option to automatically set when to change ticket prices so you do not have to wait up until midnight.",Overall: Selling tickets 24-7,
Best choice for the price,Jim N.,Direcotr,,Used the software for: 2+ years,NO,Source: Capterra,"Dec 05, 2017",5,5,5,5,5,9.0,,Pros: Online seat selection ordering is very efficient. Ease of use: inexperienced box office volunteers can be up and running with 5 minutes of training,"Cons: Customer data maintenance is a bit lean, sorting out any duplications can get tedious. However, other systems that do more cost a lot more",,
"A well layed-out system overall, with great potential.",David E.,Supervisor,,,NO,Source: Capterra,"Sep 29, 2015",4,4,5,4,5,9.0,"Comments: Pros: The system is mostly user friendly on the programming and purchase sides. The staff is helpful and friendly and provide a timely response to inquiries. They also provide a good turnaround time on new programming requests.

Cons: No longer have the ability to do seat swaps and re-open orders. This option is now only available if we provide the credit card processing. With Tix customer service not available after hours, when most events take place, this has created problems on show day.",,,,
Love this program.,Donna F.,Executive assistant,,Used the software for: 2+ years,NO,Source: Capterra,"Jun 07, 2018",5,5,5,5,5,9.0,,Pros: Customizable for our events and being able to use program on site to sell tickets at the door or in our office.,Cons: Would like more ticket printer choices. Would also like reporting options to be a little more user friendly.,,
Annual June Dance Performances,Janice B.,Owner/Artistic Director,1-10 employees,Used the software for: 2+ years,NO,Source: Capterra,"Jun 17, 2016",5,3,5,5,4,9.0,,Pros: Ease of ticket sales. Nice reports to confirm profit and ticket sales.,"Cons: Since I only use the program once every 6 months, I forget how to navigate the program. Thanks to customer service I manage.","Overall: Thanks to Steve for helping me navigate the program, our ticket sales went great! Quick response and convenient since I work eastern time evening hours and they are pacific time.",
